Song_Title,Streams,Daily,Album,Type
Just Dance - Glam As You Mix By Guena LG - Radio Edit,281347,2,Just Dance The Remixes,Non-Soundtrack Song
Just Dance - HCCR'S Bambossa Main Mix,483967,81,Just Dance (Remixes),Non-Soundtrack Song
Just Dance - Live at The Cherrytree House Stripped Down Version,867575,255,The Cherrytree Sessions,Non-Soundtrack Song
Just Dance - Remix,4342361,3446,Poker Face,Non-Soundtrack Song
Just Dance - Richard Vission Remix,2381378,253,The Remix,Non-Soundtrack Song
Just Dance - Tony Arzadon Remix,103909,65,Just Dance (Remixes Part 2),Non-Soundtrack Song
Just Dance - Trevor Simpson Remix,350357,63,Just Dance (Remixes),Non-Soundtrack Song
La Vie En Rose,72967615,16841,A Star Is Born Soundtrack,Soundtrack Song
Let's Do It,1747055,794,Love For Sale,Non-Soundtrack Song
Look What I Found,140216546,30811,A Star Is Born Soundtrack,Soundtrack Song
LoveGame,274378479,296993,The Fame,Non-Soundtrack Song
LoveGame - Chew Fu Ghettohouse Fix,4777833,900,The Remix,Non-Soundtrack Song
LoveGame - Dave Aude Club Mix,189121,19,LoveGame The Remixes,Non-Soundtrack Song
LoveGame - Dave Aude Radio Edit,913835,243,LoveGame The Remixes,Non-Soundtrack Song
LoveGame - Jody Den Broeder Club Mix,179248,23,LoveGame The Remixes,Non-Soundtrack Song
LoveGame - Jody Den Broeder Radio Edit,379476,38,LoveGame The Remixes,Non-Soundtrack Song
LoveGame - Robots To Mars Remix,1358238,322,LoveGame The Remixes,Non-Soundtrack Song
LoveGame - Space Cowboy Remix,477815,77,LoveGame The Remixes,Non-Soundtrack Song
Lush Life,6522468,973,Cheek To Cheek,Non-Soundtrack Song
MANiCURE,27758535,9967,Artpop,Non-Soundtrack Song
Marry The Night,103395432,42720,Born This Way,Non-Soundtrack Song
Marry The Night - Afrojack Remix,550226,65,Marry The Night (The Remixes),Non-Soundtrack Song
Marry The Night - Danny Verde Remix,206525,99,Marry The Night (The Remixes),Non-Soundtrack Song
Marry The Night - Dimitri Vegas & Like Mike Remix,249004,139,Marry The Night (The Remixes),Non-Soundtrack Song
Marry The Night - John Dahlback Remix,126459,23,Marry The Night (The Remixes),Non-Soundtrack Song
Marry The Night - Lazy Rich Remix,120089,30,Marry The Night (The Remixes),Non-Soundtrack Song
